GENESIS-Tabelle: 12612-0007
Lebendgeborene: Deutschland, Jahre, Alter der Mutter,;;;;;
Geschlecht der Lebendgeborenen, Familienstand der Eltern;;;;;
Statistik der Geburten;;;;;
Deutschland;;;;;
Lebendgeborene (Anzahl);;;;;
;;Geschlecht der Lebendgeborenen;Geschlecht der Lebendgeborenen;Geschlecht der Lebendgeborenen;Geschlecht der Lebendgeborenen
;;männlich;männlich;weiblich;weiblich
;;Familienstand der Eltern;Familienstand der Eltern;Familienstand der Eltern;Familienstand der Eltern
;;verheiratet;nicht verheiratet;verheiratet;nicht verheiratet
1992;unter 15 Jahre;5;51;1;38
1992;15-Jährige;30;158;23;127
1992;16-Jährige;170;508;183;472
1992;17-Jährige;580;1096;573;1043
1992;18-Jährige;1730;2018;1652;1925
1992;19-Jährige;3758;2846;3597;2804
1992;20-Jährige;6361;3843;6042;3682
1992;21-Jährige;9303;4612;8844;4431
1992;22-Jährige;12276;4522;11570;4267
1992;23-Jährige;15747;4378;14863;4239
1992;24-Jährige;19355;4172;18309;4100
1992;25-Jährige;23228;4076;22005;3821
1992;26-Jährige;27578;3867;26122;3786
1992;27-Jährige;30039;3546;28540;3548
1992;28-Jährige;31583;3409;29839;3261
1992;29-Jährige;30261;3137;28689;2912
1992;30-Jährige;27578;2688;26301;2675
1992;31-Jährige;24560;2509;23384;2373
1992;32-Jährige;21106;2046;19900;2017
1992;33-Jährige;16878;1721;15827;1615
1992;34-Jährige;13491;1381;12954;1307
1992;35-Jährige;10607;1169;10072;1180
1992;36-Jährige;8159;967;7872;866
1992;37-Jährige;6018;775;5605;741
1992;38-Jährige;4378;580;4302;557
1992;39-Jährige;3124;460;2899;406
1992;40-Jährige;2186;330;2170;334
1992;41-Jährige;1348;232;1314;222
1992;42-Jährige;927;142;856;128
1992;43-Jährige;516;86;475;83
1992;44-Jährige;243;50;256;36
1992;45-Jährige;118;24;107;10
1992;46-Jährige;50;7;50;7
1992;47-Jährige;24;3;25;3
1992;48-Jährige;17;2;14;0
1992;49-Jährige;9;2;12;2
1992;50 Jahre und mehr;26;3;18;2
1992;Alter unbekannt;-;-;-;-
1993;unter 15 Jahre;6;39;3;41
1993;15-Jährige;29;169;25;142
1993;16-Jährige;162;421;146;436
1993;17-Jährige;523;1008;494;1025
1993;18-Jährige;1421;1839;1352;1744
1993;19-Jährige;3408;2556;3157;2457
1993;20-Jährige;5620;3184;5364;3074
1993;21-Jährige;8149;3970;7660;3591
1993;22-Jährige;10983;4274;10507;4016
1993;23-Jährige;14193;4118;13167;3881
1993;24-Jährige;17934;3985;17006;3930
1993;25-Jährige;22116;4077;21114;3880
1993;26-Jährige;25967;3998;24239;3785
1993;27-Jährige;29664;3769;27680;3557
1993;28-Jährige;30781;3509;29489;3395
1993;29-Jährige;30808;3139;29166;3176
1993;30-Jährige;29463;2917;27972;2922
1993;31-Jährige;25521;2600;24164;2497
1993;32-Jährige;21774;2201;20327;2141
1993;33-Jährige;17908;1868;16935;1823
1993;34-Jährige;14490;1632;13378;1500
1993;35-Jährige;11003;1287;10518;1244
1993;36-Jährige;8533;1004;7996;1015
1993;37-Jährige;6285;795;6039;748
1993;38-Jährige;4412;587;4209;633
1993;39-Jährige;3176;488;3000;458
1993;40-Jährige;2150;322;2094;304
1993;41-Jährige;1372;250;1356;223
1993;42-Jährige;857;137;810;149
1993;43-Jährige;544;92;515;90
1993;44-Jährige;246;50;266;41
1993;45-Jährige;129;17;154;20
1993;46-Jährige;54;8;45;13
1993;47-Jährige;24;4;36;0
1993;48-Jährige;7;1;8;2
1993;49-Jährige;11;1;7;3
1993;50 Jahre und mehr;23;3;16;1
1993;Alter unbekannt;-;-;-;-
1994;unter 15 Jahre;2;40;1;31
1994;15-Jährige;24;160;21;156
1994;16-Jährige;140;493;140;433
1994;17-Jährige;488;1056;438;944
1994;18-Jährige;1269;1673;1227;1625
1994;19-Jährige;2931;2404;2781;2186
1994;20-Jährige;5098;2982;4772;2802
1994;21-Jährige;7233;3321;6990;3125
1994;22-Jährige;9816;3773;9128;3540
1994;23-Jährige;12792;4005;12089;3945
1994;24-Jährige;15825;3951;14829;3809
1994;25-Jährige;19941;3880;18556;3897
1994;26-Jährige;23560;3911;22199;3881
1994;27-Jährige;26581;3801;25292;3628
1994;28-Jährige;29506;3749;27438;3523
1994;29-Jährige;29908;3426;28207;3132
1994;30-Jährige;28951;3321;27669;3011
1994;31-Jährige;25931;2848;24315;2685
1994;32-Jährige;21893;2428;20594;2379
1994;33-Jährige;18548;2080;17222;1986
1994;34-Jährige;14712;1699;14033;1651
1994;35-Jährige;11477;1481;10762;1361
1994;36-Jährige;8632;1106;8153;1084
1994;37-Jährige;6438;929;6144;840
1994;38-Jährige;4547;708;4516;651
1994;39-Jährige;3235;551;3084;504
1994;40-Jährige;2260;356;2164;354
1994;41-Jährige;1439;229;1383;208
1994;42-Jährige;870;188;874;169
